applications,88 Featurs,61 featurs
Amazon,61.41,59.12
Amazon Prime Music,79.08,79.21
Amazon Prime Video,65.63,60.74
Apple,65.65,59.05
Apple Music,75.54,74.21
BitTorrent,91.63,93.57
Dailymotion,58.93,56.43
Deezer,59.45,60.08
Discord,77.75,83.16
Dropbox,89.06,89.93
Facebook Messenger,72.96,74.48
Facebook TV,91.61,89.17
Gmail,86.22,88.28
Google,32.55,33.12
Google Chat,72.75,75.21
Google Docs,90.17,88.26
Google Drive,92.01,93.67
Google Earth,88.32,92.6
Google Shop,89.63,90.31
Google Translate,89.41,92.03
Gotomeeting,85.87,84.05
Instagram,64.55,63.56
Line,93.7,91.38
Meta,51.36,45.33
Microsoft Teams,59.58,57.29
Netflix,70.95,62.2
SCP,76.5,85.44
Signal,91.82,88.68
Skype,60.55,59
Slack,79.58,68.93
Snapchat,73.93,58.83
Spotify,62.55,62.86
Tango,89.61,86.46
Telegram,85.82,87.63
Threema,78.96,81.84
TikTok,61.59,55.62
Twitch,53.84,51.13
Viber,79.36,76.34
Webex,78.41,78.43
Wechat,95.96,96.43
Whatsapp,84.22,82.02
Youtube,62.54,59.99
Zoom,80.77,75.07
iMessage,92.44,83.87